 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
  163         |      19.033      |      18.564  |      0.975
  164         |      19.033      |      18.516  |      0.973
  165         |      19.033      |      18.576  |      0.976
  166         |      19.033      |      18.496  |      0.972
  167         |      19.033      |      18.512  |      0.973
  168         |      19.033      |      18.416  |      0.968
  169         |      19.033      |      18.552  |      0.975
  170         |      19.033      |      18.404  |      0.967
  171         |      19.033      |      18.380  |      0.966
  172         |      19.033      |      18.392  |      0.966
  173         |      19.033      |      18.424  |      0.968
  174         |      19.033      |      18.468  |      0.970
  175         |      19.033      |      18.392  |      0.966
  176         |      19.033      |      18.420  |      0.968
  177         |      19.033      |      18.432  |      0.968
  178         |      19.033      |      18.388  |      0.966
  179         |      19.033      |      18.420  |      0.968
  180         |      19.033      |      18.408  |      0.967
  181         |      19.033      |      18.484  |      0.971
  182         |      19.033      |      18.488  |      0.971
  183         |      19.033      |      18.436  |      0.969
  184         |      19.033      |      18.480  |      0.971
  185         |      19.033      |      18.480  |      0.971
  186         |      19.033      |      18.528  |      0.973
  187         |      19.033      |      18.516  |      0.973
  188         |      19.033      |      18.440  |      0.969
  189         |      19.033      |      18.448  |      0.969
  190         |      19.033      |      18.448  |      0.969
  191         |      19.033      |      18.440  |      0.969
  192         |      19.033      |      18.376  |      0.966
  193         |      19.033      |      18.456  |      0.970
  194         |      19.033      |      18.392  |      0.966
  195         |      19.033      |      18.416  |      0.968
  196         |      19.033      |      18.600  |      0.977
  197         |      19.033      |      18.400  |      0.967
  198         |      19.033      |      18.372  |      0.965
  199         |      19.033      |      18.396  |      0.967
  200         |      19.033      |      18.424  |      0.968
  201         |      19.033      |      18.416  |      0.968
  202         |      19.033      |      18.452  |      0.969
  203         |      19.033      |      18.512  |      0.973
  204         |      19.033      |      18.496  |      0.972
  205         |      19.033      |      18.476  |      0.971
  206         |      19.033      |      18.568  |      0.976
  207         |      19.033      |      18.548  |      0.975
  208         |      19.033      |      18.472  |      0.971
  209         |      19.033      |      18.448  |      0.969
  210         |      19.033      |      18.424  |      0.968
  211         |      19.033      |      18.508  |      0.972
  212         |      19.033      |      18.444  |      0.969
  213         |      19.033      |      18.420  |      0.968
  214         |      19.033      |      18.384  |      0.966
  215         |      19.033      |      18.388  |      0.966
  216         |      19.033      |      18.432  |      0.968
  217         |      19.033      |      18.428  |      0.968
  218         |      19.033      |      18.376  |      0.966
  219         |      19.033      |      18.436  |      0.969
  220         |      19.033      |      18.412  |      0.967
  221         |      19.033      |      18.380  |      0.966
  222         |      19.033      |      18.424  |      0.968
  223         |      19.033      |      18.472  |      0.971
  224         |      19.033      |      18.444  |      0.969
  225         |      19.033      |      18.404  |      0.967
  226         |      19.033      |      18.348  |      0.964
  227         |      19.033      |      18.476  |      0.971
  228         |      19.033      |      18.392  |      0.966
  229         |      19.033      |      18.460  |      0.970
  230         |      19.033      |      18.404  |      0.967
  231         |      19.033      |      18.532  |      0.974
  232         |      19.033      |      18.384  |      0.966
  233         |      19.033      |      18.568  |      0.976
  234         |      19.033      |      18.428  |      0.968
  235         |      19.033      |      18.404  |      0.967
  236         |      19.033      |      18.484  |      0.971
  237         |      19.033      |      18.368  |      0.965
  238         |      19.033      |      18.436  |      0.969
  239         |      19.033      |      18.412  |      0.967
  240         |      19.033      |      18.544  |      0.974
  241         |      19.033      |      18.372  |      0.965
  242         |      19.033      |      18.388  |      0.966
  243         |      19.033      |      18.368  |      0.965
  244         |      19.033      |      18.348  |      0.964
  245         |      19.033      |      18.424  |      0.968
  246         |      19.033      |      18.484  |      0.971
  247         |      19.033      |      18.364  |      0.965
  248         |      19.033      |      18.472  |      0.971
  249         |      19.033      |      18.360  |      0.965
  250         |      19.033      |      18.460  |      0.970
  251         |      19.033      |      18.432  |      0.968
  252         |      19.033      |      18.436  |      0.969
  253         |      19.033      |      18.388  |      0.966
  254         |      19.033      |      18.408  |      0.967
  255         |      19.033      |      18.508  |      0.972
  256         |      19.033      |      18.372  |      0.965
  257         |      19.033      |      18.384  |      0.966
  258         |      19.033      |      18.332  |      0.963
  259         |      19.033      |      18.356  |      0.964
  260         |      19.033      |      18.404  |      0.967
  261         |      19.033      |      18.332  |      0.963
  262         |      19.033      |      18.360  |      0.965
  263         |      19.033      |      18.392  |      0.966
  264         |      19.033      |      18.396  |      0.967
  265         |      19.033      |      18.380  |      0.966
  266         |      19.033      |      18.400  |      0.967
  267         |      19.033      |      18.476  |      0.971
  268         |      19.033      |      18.500  |      0.972
  269         |      19.033      |      18.536  |      0.974
  270         |      19.033      |      18.384  |      0.966
  271         |      19.033      |      18.436  |      0.969
  272         |      19.033      |      18.532  |      0.974
  273         |      19.033      |      18.584  |      0.976
  274         |      19.033      |      18.564  |      0.975
  275         |      19.033      |      18.552  |      0.975
  276         |      19.033      |      18.496  |      0.972
  277         |      19.033      |      18.464  |      0.970
  278         |      19.033      |      18.548  |      0.975
  279         |      19.033      |      18.436  |      0.969
  280         |      19.033      |      18.352  |      0.964
  281         |      19.033      |      18.496  |      0.972
  282         |      19.033      |      18.436  |      0.969
  283         |      19.033      |      18.412  |      0.967
  284         |      19.033      |      18.412  |      0.967
  285         |      19.033      |      18.464  |      0.970
  286         |      19.033      |      18.528  |      0.973
  287         |      19.033      |      18.456  |      0.970
  288         |      19.033      |      18.452  |      0.969
  289         |      19.033      |      18.440  |      0.969
  290         |      19.033      |      18.456  |      0.970
  291         |      19.033      |      18.436  |      0.969
  292         |      19.033      |      18.444  |      0.969
  293         |      19.033      |      18.452  |      0.969
  294         |      19.033      |      18.504  |      0.972
  295         |      19.033      |      18.436  |      0.969
